"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","153.350","154.969","154.969","153.300","","-1.04%"
"12/10/2023","154.969","154.969","154.969","154.969","","1.15%"
"12/08/2023","153.200","153.350","153.400","153.300","","-0.03%"
"12/07/2023","153.250","153.350","153.400","153.200","","0.00%"
"12/06/2023","153.250","153.250","153.400","153.100","","0.00%"
"12/05/2023","153.250","153.300","153.400","153.200","","0.03%"
"12/04/2023","153.200","153.250","153.350","153.000","","0.03%"
"12/01/2023","153.150","153.300","153.300","153.100","","0.00%"
"11/30/2023","153.150","153.100","153.250","153.000","","0.03%"
"11/29/2023","153.100","153.100","153.300","152.700","","0.07%"
"11/28/2023","153.000","153.000","153.100","152.700","","0.07%"
"11/27/2023","152.900","152.950","153.050","152.800","","0.13%"
"11/24/2023","152.700","152.850","152.960","152.675","","-0.03%"
"11/23/2023","152.750","152.800","152.850","152.450","","0.03%"
"11/22/2023","152.700","152.550","152.800","152.400","","0.13%"
"11/21/2023","152.500","152.500","152.600","152.300","","0.10%"
"11/20/2023","152.350","152.300","152.500","152.100","","0.03%"
"11/17/2023","152.300","152.300","152.600","151.950","","0.07%"
"11/16/2023","152.200","152.100","152.300","152.100","","0.13%"
"11/15/2023","152.000","151.850","152.200","151.850","","0.07%"
"11/14/2023","151.900","151.700","152.100","151.700","","0.00%"
"11/13/2023","151.900","151.752","152.440","151.750","","0.23%"
